Route ID,Checkpoints,Total Distance (Kms),Avg Time Taken (Hrs)
7f900c9a-4655-4b01-84f5-d486d8ffb31e,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",923,95.1
c54799b4-4fdb-44bd-9da5-04e128944a02,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",948,476.8
ada3eb96-c259-4da6-8890-4ee698b6e302,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",380,76
d82f3f86-386f-4cb9-8c20-5c362c753534,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",387,565
f3700a12-e79f-4b01-921f-40e70a3cd5e1,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",269,357.7
cc18b69d-69b2-4898-a9ae-030d2c629d79,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",501,272.5
5aca0806-f0f9-49fe-90da-3e426c985abc,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",810,116.5
f0188126-e0a8-4d5b-91af-ba431a8d1642,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",351,304.3
c3f9f195-0509-437e-abfe-842296acf968,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",503,340.8
15770598-5a90-45ee-b8a3-0f88172ad476,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",961,342.9
d6ee5ea5-d99a-4685-877d-80ddaaf640e1,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",921,330.2
7ff0b0ae-d50c-4b24-bfd7-7a4eab3eadf7,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",474,162.6
74d2d52e-24d7-48ec-96f7-a460725ecbf9,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",998,55.5
ca23277d-8588-4fd8-aff4-88e6b6b76fe3,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",325,336.1
e1ce1b44-98b0-4fd4-ae42-61f8b219e1fa,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",261,33.8
af1208a1-bc16-45ab-92a8-7d4a09a12aec,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",320,148
6acb5b77-49fa-4d27-a133-6b40dba0e2e1,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",424,691.1
620d798c-4612-4b78-a944-af62de3bcb40,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",358,606.9
f3f909a2-42b4-4886-b0f2-d7ccf74d8e61,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",917,684.6
f56172f2-a188-4b37-a95c-a1a286cadc0f,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",402,159.7
87447fc7-a017-4e40-bde9-d45cb5a45d54,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",877,201.4
f8c9c5bb-b879-458d-aa12-051e4a778e44,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",549,166.3
dc3ddcf2-7896-423d-8b11-252c1ecaf1bf,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",407,623.2
d3f03bcc-dc04-4923-b84f-df42c574c865,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",885,717.1
a87d8ead-ae7b-42ff-ac90-029e387f576e,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",573,414.8
4c6708ff-5572-4378-a457-132d44bd4bf6,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",310,647.9
23208abd-efb3-4c29-8e6b-060c665033ec,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",355,725.2
459f6e11-7be9-4271-86eb-ca8033213702,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",993,536.3
d665fe67-5237-4d4d-9f47-2371b96312e8,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",615,189.1
48d6caff-3d4b-46c5-a8d6-71fb3d9e777e,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",914,358.5
ce953014-29c7-49a9-9169-5ff3fec27a33,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",926,173.2
47578f93-7c63-4497-bc09-c6728efa81bf,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",447,296.4
a9182f33-407c-4585-ad81-2659b6ed297a,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",791,456.7
c3d57a5a-12d8-41e4-8d29-77c3bb654c27,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",329,34.2
3c0fe989-5569-43ed-bf21-eb89d14d8991,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",639,118.8
8bf21cbf-8914-48d7-8e2a-b40266549207,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",368,481.3
05aa9972-1728-487b-986b-218dcaacc3aa,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",862,341.9
419da9ad-3d5e-4237-82ae-23e885d3d989,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",794,523.3
2ec416bd-2c9e-4989-8ffb-e42d4d4ad3ca,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",446,642.1
46c1d9cf-30cf-4c13-829b-b64cb6feb1b2,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",546,519
42ef1b15-8492-4f1d-878c-8cb096569c19,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",706,240.5
5c42d4e8-7fd7-4212-811f-a31e9078e95c,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",742,258.8
c4eb650e-0772-443f-a784-28fdd3593a05,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",640,326.3
4c42d423-091c-475e-80be-47a10c00a0b0,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",374,708.1
bd0e23bf-6a02-42ca-b3e8-e56572cc24f5,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",594,595.8
a9b451a6-882e-492e-a5f9-947a83fa4081,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",591,412.5
f9ff820a-a6bb-4747-b765-e81c49044345,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",960,267.7
d56f2515-b8fb-4f92-9097-59e10edd9270,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",685,658.6
ea9de3e0-3bd5-4fe5-90e5-7dee1498d71e,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",539,381
0386e4c8-c661-49c0-9033-bf850a85dc07,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",788,606
4dc62628-407d-4ae7-8885-bcc80fba3ae9,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",321,727.7
6aeb445f-41ba-460c-99c5-6b2aec6b2b22,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",709,363.2
25d6ca4a-13a4-4f47-8bcb-150f7ecda94f,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",476,89.5
6b4b0f23-7ac3-449c-9002-4fe832dc78d0,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",748,458.9
42a75226-c3af-4387-a403-b9a35ed12073,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",483,363
7af14ee2-446f-45dd-81b5-40bbec8c428a,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",546,402.1
8223d262-79be-4758-a24e-1b30bb5e722a,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",364,579.1
b1f08671-abd2-4b15-876c-8543cf68d52e,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",428,470.4
865fd217-100e-4502-88ec-e30649c66f48,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",305,668.1
523ee187-5a97-47b8-93bd-e8edc05a80cd,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",766,218
1bfd5cd6-9ea5-4bb7-bd1e-bb2f56d8ccad,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",661,148.3
1ace5e39-670c-4fe1-853f-ae2e241ee411,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",676,562.4
360e7f5d-b208-48cd-8b1f-ec323dddf471,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",427,282.6
b581a2c4-9f3e-4f43-b8b0-ed6588b57fd2,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",976,398.8
8d52c434-4cf1-47ed-9d97-10849092b5b5,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",450,303.4
07a40f38-9ede-48d4-8962-3abff36d491f,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",851,395.2
a7756ded-65fb-4e25-bf19-e8927a1c394b,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",576,344.7
935c245a-9e1d-4f3f-aaad-3113dea72d43,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",572,711.1
82256535-274d-4e2c-8425-5f17c0d6df71,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",589,236.6
6e6307c8-0d30-416f-b31e-84016c48f240,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",799,254.6
b1a4d269-1c32-4bf6-a9c3-cce4616925b9,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",634,741.3
06e05c54-74c3-405e-a726-311000b173f0,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",747,228.8
e41e2a6f-ca25-4bba-a3e3-eea4b9776fb2,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",724,325.1
894d4a33-b392-4df5-b371-b2d0df8351e1,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",638,611.2
94d0264d-52a8-44ec-a1f1-a1dcc869a40e,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",898,24
998bbd7e-6d9e-4c09-9766-76ec4dd892c2,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",425,389
ca4dc1b8-a369-48bd-a1dd-891d55d000a6,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",327,662.4
8085c331-d70c-4020-8d0d-0bbcacee0f5f,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",371,532.2
e273afe8-1254-4cb1-b6bc-335241c6706d,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",969,325.5
32e9f1a8-fa4d-40d5-a46e-2b8c90ba021f,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",299,202.6
00cc2c11-ce1a-4301-80de-8f1c3e969404,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",566,700.4
21555895-00ce-4d15-aed0-3ddf64e5ee8e,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",984,690.1
dd8da6e1-8ff4-4615-9c0e-8418e9954706,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",373,530.8
c53a37ea-c156-4991-8657-1c749f110c16,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",589,708.3
29ce0231-d6c8-4737-9fd4-b5d1b459dce8,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",597,301.1
b8188aa4-7e1a-4deb-af13-daa52f91ecd8,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",825,387.6
242c858e-e8d8-4219-8458-f942cccf9eff,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",562,598.8
bf0ea3cf-c725-415b-b06a-ac623e5b32fb,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",501,377.6
651d3fd2-cdb3-4d95-baf1-d754c4efdd2d,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",889,169.2
9178ec0e-e98f-4f27-aa8d-4d6ba84cb5d7,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",992,129
defa2e2e-651b-4cc6-8d85-bf60400b9f8a,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",792,548.8
668e04f8-2a0b-4d2a-809f-8639c557f5f2,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",463,235.2
5c6ec3f0-4906-42f9-9afe-338fc6a1f308,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",252,90.7
2b2f4433-9d79-41c6-ac31-54ec44ed6104,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",921,60.5
219d2632-6c4b-4a70-9b9e-10dde183bd3b,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",495,306.4
77d19e09-3567-4f36-af4f-a6c09e57b4f3,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",267,286.8
14fc9033-137d-4435-9c69-aa639867574b,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",945,124.6
bcb5a25c-2d03-4565-b482-619973dd61ca,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",437,518.1
8888f1aa-0a89-4bbc-8b2e-17fe81202f0c,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",669,140.1
3f45ac07-8d3f-4bdb-a021-c811268b05ce,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",956,532.9
2da0f27d-3b2f-41ee-ac90-60078631ee7b,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",857,591.2
48eeb3e3-47a7-4d5a-b5ea-dc607666509c,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",647,266.5
984c566a-d771-4053-8583-2c3e859f2394,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",335,654.7
0f00ebc1-91cc-45f8-ada6-e946a9493c79,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",927,476.9
7c2e11ef-f28a-482d-a7ef-4f59cd4c8aca,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",784,406.2
e1281239-cf49-4530-8baa-22044615ced6,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",599,635.6
0df880cc-62a9-4253-a881-24f4d3d02bb2,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",723,425.2
15e34856-fa72-4f75-af51-e9533d365a53,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",995,543.3
b5b51406-b4bb-4314-928c-9e0bf1a801e4,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",546,665.4
63fce9a9-a319-4b37-b1f0-746f16f685a9,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",939,349.6
05cdfc8d-a76c-45d7-8e2c-c347e4ce957c,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",341,280.8
b9ce0517-eb66-4cec-8e5c-4e05b9b336fc,"[Manufacturer-101, Storage-779, Distributor-1001, Retailer-199]",755,601.6
142db0b9-55ca-4c0e-a883-92ed5d4ce17e,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",512,451.4
d7163b4e-90e5-4577-a4aa-57f7c1a1f0e9,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",677,349.7
502d4283-31ac-4cf4-a4f9-7a6684a757aa,"[Manufacturer-121, Storage-566, Distributor-51, Retailer-99]",566,208.6
fd0afdd3-6e0e-4bdf-9aa7-904793662851,"[Manufacturer-109, Storage-96, Distributor-15, Retailer-99]",667,271.6
3dac4f1f-53d0-4cd7-856e-db9f6c6ad9e7,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",847,607.9
1279f128-9a11-4d83-b528-5eac22cfa643,"[Manufacturer-256, Storage-666, Distributor-141, Retailer-911]",385,743.3
bf7731b5-895d-4c01-9182-1750a1af6af4,"[Manufacturer-11, Storage-666, Distributor-1001, Retailer-99]",532,178.1
