Batch ID,Route,Actual Path,Last Scan Location,Products
f0b57c7d-9184-4d4a-8a83-f37e0764b78c,58503-043,"[Manufacturer-256, , , ]",14fbe4a0-cfe9-4d27-be20-54af1d7c16d9,"[P-1001, P-1056, P-111, P-099]"
0cef65c6-6fd9-4735-8d8b-cca9608f4c3f,54748-202,"[Manufacturer-101, Storage-779, Distributor-1001,  ]",c7550800-7b8b-4135-83b7-ba4ba28c46c6,"[P-11, P-56, P-11, P-99]"
3c8f3565-096b-4818-8c79-cba3cd83227a,49348-999,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",22a01170-a6d2-44fc-9d9a-a12f6490d318,"[P-1001, P-1056, P-111, P-099]"
6a78e25a-fbc4-4df7-aee8-cf554fedf76c,52605-120,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",f107dd43-700a-44e3-b36f-0bc82ead3739,"[P-1001, P-1056, P-111, P-099]"
ff66fdf7-3923-4090-b6e8-3977db843a5f,57520-1028,"[Manufacturer-11, Storage-666, , ]",cd692373-2520-4ac1-ba23-7fb138cfcfdd,"[P-11, P-56, P-11, P-99]"
034b9921-7f18-4397-96c7-f625d2fddb51,59667-0049,"[Manufacturer-121, Storage-566,  ,  ]",e70f2368-60fc-49e4-ae63-f89f2e0ea248,"[P-1001, P-1056, P-111, P-099]"
4a1d3f09-484b-473a-ab6f-449d5c9f7734,59900-510,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",8fbb0bbf-2363-4d90-a62c-9b5a36b24575,"[P-11, P-56, P-11, P-99]"
1189e979-bc6e-492f-89c0-7ce42e20498b,63629-5271,"[Manufacturer-256, , , ]",faee968e-7307-4858-8596-de9dccd5cd46,"[P-11, P-56, P-11, P-99]"
59624bea-12d8-47ce-bb19-e114fccf05bc,0113-0604,"[Manufacturer-121, Storage-566,  ,  ]",18336b5c-bf4f-4e07-b400-4ca75407004a,"[P-1001, P-1056, P-111, P-099]"
d8f66b6f-8aa0-48b0-843f-ed38622888fb,53808-0307,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",1b59a4d3-0fa1-45c6-b0fd-3d8a4c64492e,"[P-11, P-96, P-71, P-19]"
58274438-b945-474e-908e-66d32205a23f,65044-6589,"[Manufacturer-121, Storage-566,  ,  ]",d0301e42-b214-4f9b-a785-9d4fcd6fe9ad,"[P-1001, P-1056, P-111, P-099]"
e3e7b911-cfcb-4eae-b6f8-76dc9ffe1ea0,63354-331,"[Manufacturer-101, Storage-779, Distributor-1001,  ]",e834c8d0-5a71-4ceb-96ae-bf2ac635cde7,"[P-11, P-56, P-11, P-99]"
0abedc9a-2976-4988-b2b2-2a29827310c6,63629-5008,"[Manufacturer-256, , , ]",027a89ab-8840-4a56-85b2-611b9d761c20,"[P-11, P-56, P-11, P-99]"
843b5103-2ad4-4571-9880-3a1c730b7060,53217-006,"[Manufacturer-11, Storage-666, , ]",1342a110-3878-4956-9948-59311ebf25b2,"[P-11, P-56, P-11, P-99]"
8efde36f-ecee-4b42-9d88-1b87b5fc84c5,0268-6200,"[Manufacturer-11, Storage-666, , ]",7bde5a75-a4d7-4316-933e-9dcf94d3e85c,"[P-1001, P-1056, P-111, P-099]"
8887ed64-ae81-468c-bb56-dd08336475b1,59762-0252,"[Manufacturer-11, Storage-666, , ]",8e01c62f-be8c-43eb-bd7d-b241fc16e3f0,"[P-11, P-56, P-11, P-99]"
eea098c7-c74a-4c38-95de-57a187362283,68047-340,"[Manufacturer-121, Storage-566,  ,  ]",f23ab6bf-f6d5-46b0-a249-1ab98b60ed7f,"[P-1001, P-1056, P-111, P-099]"
f79ad309-88cb-4a6a-928e-49168be98935,68693-011,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",e80d93c5-6e3f-4898-b3f6-c124ff8745f2,"[P-1001, P-1056, P-111, P-099]"
6b051970-c5ef-46e7-93ae-402eb9731997,60760-279,"[Manufacturer-109, Storage-96, Distributor-15, ]",f1e166f9-9550-4dd1-a4d6-f588b31ff17e,"[P-1001, P-1056, P-111, P-099]"
ea6db3e4-5278-4ca3-aa15-c8b6d2d8678a,36987-3175,"[Manufacturer-109, Storage-96, Distributor-15, ]",6c0671fe-b5aa-456f-952b-4badd6fc9d3d,"[P-11, P-96, P-71, P-19]"
bdbd58f6-64e3-4220-9f1f-7d176c540b38,0378-0477,"[Manufacturer-101, Storage-779, Distributor-1001,  ]",2af019fd-faa3-4588-a87c-1a0b579ca3e2,"[P-1001, P-1056, P-111, P-099]"
0dde9be0-a815-4a44-b277-a5afe6f428c2,68084-412,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",e8c054e8-d109-457c-88a0-9bdc7d07329f,"[P-1001, P-1056, P-111, P-099]"
5da935e2-2cb1-4a7e-a04e-348754b83ea1,68084-696,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",5754fcaa-0004-41ce-bf1d-7db677ab6651,"[P-11, P-56, P-11, P-99]"
fead4420-f047-4a42-88d9-dbee626e31c9,49643-818,"[Manufacturer-11, Storage-666, , ]",5a21b715-3412-4cd1-8219-3b55f9409f98,"[P-11, P-96, P-71, P-19]"
a1b0859b-5b68-4a77-ad38-9c3f6fe62c6b,32909-105,"[Manufacturer-256, , , ]",2dad480c-f3ae-44c1-afcf-e10688f460cf,"[P-11, P-56, P-11, P-99]"
43f47eb9-f48f-4ab3-8141-a78673758abf,58118-0002,"[Manufacturer-256, , , ]",a7849686-cfc5-49ae-9dea-4c454f5f9d6f,"[P-1001, P-1056, P-111, P-099]"
a6b77dc9-7965-4593-a87c-8d15a8e1bb8f,76335-005,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",774535f3-b52f-4636-8d7d-0a7cba01687d,"[P-1001, P-1056, P-111, P-099]"
b2b205e3-d80c-463e-a5e6-f679475741e3,14783-469,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",de9f1cbe-1047-477b-baab-957140c7e15b,"[P-11, P-96, P-71, P-19]"
bde4a4c3-7405-4ea4-a71b-354921507998,16590-421,"[Manufacturer-121, Storage-566,  ,  ]",22ed8c35-e09e-4718-9ddf-3602d9d66d8f,"[P-11, P-56, P-11, P-99]"
a45a805a-b21c-4685-b565-c171fc543e9e,36987-2551,"[Manufacturer-121, Storage-566,  ,  ]",a5f0e7ac-1975-4a77-90fd-b4923bc249f0,"[P-11, P-96, P-71, P-19]"
a7d2aacf-f263-4ec6-bbcd-cb5410eaa888,0378-6015,"[Manufacturer-121, Storage-566,  ,  ]",9761cf04-26c3-4df7-b86c-5d2f3349bf09,"[P-1001, P-1056, P-111, P-099]"
110d1e9b-5609-4c27-9b37-c4cfd325fae4,42211-203,"[Manufacturer-109, Storage-96, Distributor-15, ]",0b1122ff-3778-45ee-80d0-3befc9e5a1f3,"[P-11, P-96, P-71, P-19]"
8a2adfea-07b3-4c00-8a46-ee25d9bd7592,59764-522,"[Manufacturer-101, Storage-779, Distributor-1001,  ]",a5ebb1d5-fb8b-4153-a2cf-b96d5dff590c,"[P-1001, P-1056, P-111, P-099]"
041e8dca-e7f2-464a-9606-ec373fdb56df,54868-6093,"[Manufacturer-11, Storage-666, , ]",04363b99-f1f0-4736-a477-8c7f89f00659,"[P-1001, P-1056, P-111, P-099]"
695d448c-ed45-49fd-9770-5ae5a945e52f,55154-8705,"[Manufacturer-101, Storage-779, Distributor-1001,  ]",b6d0f655-7eb5-4de4-acc5-a0523d4ea754,"[P-11, P-96, P-71, P-19]"
680fbc04-8f77-4e24-a9d0-b1fb522a3c39,58503-057,"[Manufacturer-109, Storage-96, Distributor-15, ]",3d6c0e5c-588d-4235-bb3b-ba6e3edbdc7b,"[P-11, P-56, P-11, P-99]"
a90bc0ab-3bc5-4c8a-908a-f8334e7c4dfd,41250-808,"[Manufacturer-109, Storage-96, Distributor-15, ]",13b7de08-a920-4e01-9062-699fad30e553,"[P-1001, P-1056, P-111, P-099]"
2aefb60f-5749-4cb7-b75e-412ece2c4a39,0093-7247,"[Manufacturer-256, , , ]",7cf06657-b1a0-40d4-8e48-673d7e7281a3,"[P-11, P-56, P-11, P-99]"
9e003e79-595f-4f00-9168-15f99ca940fb,25021-453,"[Manufacturer-256, , , ]",0fadcc3d-af13-4b91-9bdb-4643590f7620,"[P-11, P-96, P-71, P-19]"
e8401b58-e34d-4f34-b4d1-9d6ea1467c8d,64942-1018,"[Manufacturer-11, Storage-666, , ]",cff0f42d-e31f-4320-ae8c-556e48642ab8,"[P-11, P-56, P-11, P-99]"
d899b8c6-c082-47a0-9184-6b410c8c4e16,42543-052,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",abfcba56-6367-4338-9e86-36068bf5720c,"[P-1001, P-1056, P-111, P-099]"
38bac216-5b84-4700-b461-dde91e5008ea,57520-0422,"[Manufacturer-101, Storage-779, Distributor-1001,  ]",7205b25e-281f-4347-be20-5d6e65c0448f,"[P-11, P-96, P-71, P-19]"
50107560-4c6c-4306-a639-2a33ad9b0d9b,59062-1286,"[Manufacturer-256, , , ]",c3b787fe-6f73-4d6c-b275-c82b84f3c4cd,"[P-1001, P-1056, P-111, P-099]"
9c9e503c-8dfa-4d14-b64b-4e8bcef56b38,50436-3845,"[Manufacturer-121, Storage-566,  ,  ]",7340c42c-af5a-426a-a786-59ccba91b8f7,"[P-11, P-56, P-11, P-99]"
f1c470ab-4173-4d0c-b50a-5c037166b1f2,63730-224,"[Manufacturer-256, , , ]",ba67d2f4-3b9d-411b-a319-5b9ee67ca6ed,"[P-11, P-56, P-11, P-99]"
64ea5a19-b067-4262-987b-c36cbece26c5,41520-101,"[Manufacturer-121, Storage-566,  ,  ]",262b523f-90c0-4d2a-8f23-f68ac99d535c,"[P-1001, P-1056, P-111, P-099]"
098be8e8-f261-4e6d-bd7e-5515f19d1294,0179-0033,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",3976e221-3d2b-4f4c-aa34-9ee0ee40c291,"[P-1001, P-1056, P-111, P-099]"
0252d2dc-19aa-4307-9bfe-14608d305e2c,46708-092,"[Manufacturer-109, Storage-96, Distributor-15, ]",7bef23ac-2746-4cce-819a-319e315e8b73,"[P-1001, P-1056, P-111, P-099]"
c920bb37-5db4-4f6c-a0bc-8ccbbe14ffc4,0054-3177,"[Manufacturer-121, Storage-566,  ,  ]",f2842c7c-8bd4-4048-b781-1879a39dcec5,"[P-1001, P-1056, P-111, P-099]"
2897e784-77bb-4a4a-9b7b-c5d10f7ec6e9,33261-956,"[Manufacturer-101, Storage-779, Distributor-1001,  ]",4a7de7d5-e0a0-4e6f-81f3-df4282dcbd02,"[P-11, P-56, P-11, P-99]"
457df2bb-239b-4ca3-85b1-61329dd45f56,61727-111,"[Manufacturer-109, Storage-96, Distributor-15, ]",9815f0cd-fa1a-49aa-9bb7-a59036e3cb95,"[P-1001, P-1056, P-111, P-099]"
90c5e2dc-4682-400b-92c3-6174c1d8a642,0338-1123,"[Manufacturer-101, Storage-779, Distributor-1001,  ]",cda679de-6b46-492e-ba9d-1a1a6427ccd2,"[P-1001, P-1056, P-111, P-099]"
624a4a28-93b1-4ed3-99b1-34f8574feaaf,16714-111,"[Manufacturer-11, Storage-666, Distributor-1561, Retailer-919]",e5f0cea2-6c67-4fa5-a520-be4f3b1390d3,"[P-1001, P-1056, P-111, P-099]"
